grid_id,Acraea andromacha,Acraea terpsicore,Afrohybanthus enneaspermus,Adenia heterophylla,n_species
10272,0,5,0,0,4
10275,0,1,0,0,4
10279,0,1,0,0,4
10280,0,5,0,0,4
10281,1,13,2,0,4
10282,0,2,0,0,4
10367,0,0,1,0,4
10395,0,1,1,0,4
10399,2,0,0,0,4
10400,0,1,0,0,4
10401,0,1,0,0,4
10431,1,0,0,0,4
10478,1,0,0,0,4
10502,0,0,1,0,4
10509,2,0,0,0,4
10512,0,0,1,0,4
10513,0,6,1,0,4
10515,1,1,0,0,4
10594,0,1,0,0,4
10614,1,0,0,0,4
10615,4,1,0,0,4
10626,0,9,0,0,4
10627,0,3,2,0,4
10703,0,1,0,0,4
10705,1,1,0,0,4
10711,0,1,0,0,4
10725,1,0,0,0,4
10728,0,1,0,0,4
10735,0,1,0,0,4
10737,0,4,0,0,4
10738,6,85,20,0,4
10739,8,45,3,0,4
10740,0,1,0,0,4
10741,1,0,0,0,4
10821,0,1,0,0,4
10833,1,1,1,0,4
10834,1,0,0,0,4
10845,2,2,0,0,4
10846,0,4,2,0,4
10848,0,1,0,0,4
10921,1,0,0,0,4
10922,0,1,0,0,4
10941,3,0,0,0,4
10944,0,1,0,0,4
10946,0,1,0,0,4
10947,0,0,1,0,4
10948,0,1,0,0,4
10952,0,2,0,0,4
10953,0,1,0,0,4
10957,1,1,0,0,4
10958,1,2,0,0,4
10975,0,1,0,0,4
10977,0,0,1,0,4
11030,0,1,0,0,4
11048,0,1,1,0,4
11052,0,1,0,0,4
11058,0,1,0,0,4
11059,0,1,0,0,4
11060,0,5,0,0,4
11061,0,1,0,0,4
11064,2,0,0,0,4
11134,0,1,0,0,4
11137,1,4,0,0,4
11154,0,3,0,0,4
11155,0,2,0,0,4
11156,0,2,0,0,4
11157,1,0,0,0,4
11168,10,1,0,0,4
11169,5,4,0,0,4
11255,0,0,1,0,4
11258,0,5,0,0,4
11259,0,5,0,0,4
11260,0,1,0,0,4
11262,0,1,0,0,4
11263,2,11,0,0,4
11264,4,6,0,0,4
11272,2,3,0,0,4
11273,1,0,0,0,4
11283,0,1,0,0,4
11347,1,1,0,0,4
11348,0,1,0,0,4
11357,1,8,1,0,4
11358,0,0,1,0,4
11360,0,1,0,0,4
11365,1,6,0,0,4
11366,1,7,0,0,4
11367,0,2,0,0,4
11368,1,0,0,0,4
11369,0,6,0,0,4
11371,3,1,0,0,4
11373,1,0,0,0,4
11374,0,0,1,2,4
11381,0,0,1,0,4
11382,0,1,0,0,4
11446,0,3,0,0,4
